,Wd,We,"theta(Wd,We)"
15.33,1.3098109176558612,1.2716027622668442,-0.2020060007643369
15.4,1.309892207234677,1.27158532788086,-0.20245683941325038
15.47,1.3099734968134924,1.2715678934948753,-0.2029076780621638
15.54,1.3100547863923082,1.271550459108891,-0.2033585167110773
15.61,1.310136075971124,1.2715330247229066,-0.20380935535999073
15.68,1.3102173655499394,1.2715155903369222,-0.2042601940089042
15.75,1.3102986551287552,1.2714981559509377,-0.20471103265781765
15.82,1.3103799447075706,1.2714807215649535,-0.2051618713067311
15.89,1.3104612342863864,1.271463287178969,-0.20561270995564457
15.96,1.3105425238652018,1.2714458527929848,-0.206063548604558
16.03,1.3106238134440176,1.2714284184070004,-0.2065143872534715
16.1,1.3107051030228332,1.2714109840210157,-0.20696522590238495
16.17,1.3107863926016488,1.2713935496350313,-0.2074160645512984
16.24,1.3108676821804646,1.271376115249047,-0.20786690320021184
16.31,1.31094897175928,1.2713586808630628,-0.2083177418491253
16.38,1.3110302613380957,1.2713412464770784,-0.20876858049803876
16.45,1.3111115509169111,1.271323812091094,-0.20921941914695225
16.52,1.311192840495727,1.2713063777051097,-0.20967025779586568
16.59,1.3112741300745425,1.2712889433191252,-0.21012109644477917
16.66,1.3113554196533581,1.2712715089331406,-0.21057193509369262
16.73,1.3114367092321737,1.2712540745471563,-0.21102277374260606
16.8,1.3115179988109895,1.271236640161172,-0.21147361239151952
16.87,1.311599288389805,1.2712192057751877,-0.21192445104043298
16.94,1.3116805779686207,1.2712017713892032,-0.21237528968934646
17.01,1.3117618675474363,1.271184337003219,-0.2128261283382599
17.08,1.3118431571262519,1.2711669026172345,-0.21327696698717336
17.15,1.3119244467050675,1.2711494682312503,-0.2137278056360868
17.22,1.3120057362838833,1.2711320338452656,-0.21417864428500027
17.29,1.3120870258626987,1.2711145994592812,-0.21462948293391373
17.36,1.3121683154415145,1.271097165073297,-0.2150803215828272
17.43,1.31224960502033,1.2710797306873125,-0.21553116023174063
17.5,1.3123308945991454,1.271062296301328,-0.21598199888065409
17.57,1.3124121841779612,1.2710448619153438,-0.21643283752956757
17.64,1.3124934737567768,1.2710274275293594,-0.216883676178481
17.71,1.3125747633355926,1.2710099931433747,-0.2173345148273945
17.78,1.3126560529144082,1.2709925587573905,-0.21778535347630795
17.85,1.3127373424932236,1.270975124371406,-0.2182361921252214
17.92,1.3128186320720394,1.2709576899854216,-0.21868703077413484
17.99,1.312899921650855,1.2709402555994374,-0.2191378694230483
18.06,1.3129812112296708,1.270922821213453,-0.21958870807196174
18.13,1.3130625008084862,1.2709053868274687,-0.22003954672087525
18.2,1.3131437903873018,1.2708879524414844,-0.22049038536978868
18.27,1.3132250799661176,1.2708705180554996,-0.22094122401870211
18.34,1.3133063695449332,1.2708530836695153,-0.2213920626676156
18.41,1.3133876591237488,1.270835649283531,-0.22184290131652906
18.48,1.3134689487025644,1.2708182148975466,-0.22229373996544252
18.55,1.3135502382813802,1.2708007805115624,-0.22274457861435595
