,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd,We
32.76,2.1,-0.01,-0.76,-2.26,0.0
32.83,2.1,-0.0,-0.81,-2.37,0.0
32.9,2.1,-0.0,-0.86,-2.37,0.0
32.97,2.1,-0.0,-0.89,-1.9,0.0
33.04,2.1,0.0,-0.92,-1.34,0.0
33.11,2.1,0.0,-0.93,-0.73,0.0
33.18,2.1,0.0,-0.93,-0.06,0.0
33.25,2.1,0.0,-0.93,0.0,0.0
33.32,2.1,0.0,-0.93,0.0,0.0
33.39,2.1,0.0,-0.93,0.0,0.0
33.46,2.1,0.0,-0.93,0.0,0.0
33.53,2.1,0.0,-0.93,0.0,0.0
33.6,2.1,0.0,-0.93,0.0,0.0
33.67,2.1,0.0,-0.93,0.0,0.0
33.74,2.1,0.0,-0.93,0.0,0.0
33.81,2.1,0.0,-0.93,0.0,0.0
33.88,2.1,0.0,-0.93,0.0,0.0
33.95,2.1,0.0,-0.93,0.0,0.0
34.02,2.1,0.0,-0.93,0.0,-0.03
34.09,2.1,0.0,-0.93,0.0,0.0
34.16,2.1,0.0,-0.93,0.0,0.0
34.23,2.1,0.0,-0.93,0.0,0.0
34.3,2.1,0.0,-0.93,0.0,0.0
34.37,2.1,0.0,-0.93,0.0,-0.03
34.44,2.1,0.0,-0.93,-0.03,0.0
34.51,2.1,0.0,-0.94,-0.28,-0.17
34.58,2.1,0.0,-0.94,-0.28,-0.03
34.65,2.1,0.0,-0.95,-0.31,0.0
34.72,2.1,0.0,-0.96,-0.61,0.0
34.79,2.1,0.0,-0.97,-0.53,0.0
34.86,2.1,0.0,-0.97,0.0,0.0
34.93,2.1,0.0,-0.97,0.0,0.0
35.0,2.1,0.0,-0.97,0.0,0.0
35.07,2.1,0.0,-0.97,0.0,0.0
35.14,2.1,0.0,-0.97,0.0,0.0
35.21,2.1,0.0,-0.97,0.0,0.0
35.28,2.1,0.0,-0.97,0.0,0.0
35.35,2.1,0.0,-0.97,0.0,0.0
35.42,2.1,0.0,-0.97,0.0,0.0
35.49,2.1,0.0,-0.97,0.0,0.0
35.56,2.1,0.0,-0.97,0.0,0.0
35.63,2.1,0.0,-0.97,0.0,0.0
35.7,2.1,0.0,-0.97,0.0,0.0
35.77,2.1,0.0,-0.97,0.0,0.0
35.84,2.1,0.0,-0.97,0.0,0.0
35.91,2.1,0.0,-0.97,0.0,-0.03
35.98,2.1,0.0,-0.97,0.0,0.0
36.05,2.1,0.0,-0.97,0.0,0.0
36.12,2.1,0.0,-0.97,0.0,-0.08
36.19,2.09,0.0,-0.94,0.0,-1.59
36.26,2.09,0.01,-0.9,0.0,-1.65
36.33,2.09,0.01,-0.87,0.0,-1.81
36.4,2.09,0.01,-0.83,0.0,-1.78
36.47,2.09,0.01,-0.8,-0.03,-1.9
36.54,2.09,0.01,-0.77,-0.33,-1.73
36.61,2.08,0.02,-0.77,-1.64,-1.84
36.68,2.08,0.02,-0.78,-2.81,-2.28
36.75,2.08,0.02,-0.78,-2.79,-2.9
36.82,2.07,0.03,-0.77,-3.07,-3.37
36.89,2.06,0.04,-0.76,-2.84,-3.26
36.96,2.06,0.04,-0.76,-2.84,-3.12
37.03,2.05,0.04,-0.75,-2.62,-2.81
37.1,2.05,0.05,-0.75,-2.48,-2.62
37.17,2.05,0.05,-0.74,-2.06,-2.34
37.24,2.04,0.06,-0.74,-2.37,-2.81
37.31,2.04,0.06,-0.73,-2.31,-2.79
37.38,2.03,0.06,-0.72,-2.29,-2.73
37.45,2.03,0.07,-0.72,-2.48,-2.51
37.52,2.02,0.07,-0.71,-2.37,-2.51
37.59,2.02,0.08,-0.71,-2.51,-2.54
37.66,2.02,0.08,-0.71,-2.37,-2.45
37.73,2.01,0.08,-0.71,-2.09,-2.31
37.8,2.01,0.09,-0.7,-2.03,-2.26
37.87,2.0,0.09,-0.7,-1.87,-2.06
37.94,2.0,0.09,-0.7,-2.06,-2.23
38.01,2.0,0.1,-0.7,-2.17,-2.2
38.08,1.99,0.1,-0.69,-2.06,-2.29
38.15,1.99,0.1,-0.69,-2.51,-2.65
38.22,1.98,0.11,-0.69,-1.92,-1.92
38.29,1.98,0.11,-0.69,-2.31,-2.31
