,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)",Wd_true,We_true
12.25,2.34706827449245,2.3343772293637377,-0.0008997978071477973,0.9555332176101474,1.4472033000085982,2.309206471582224,2.2987252054806246
12.32,2.3477585522557023,2.3349103009013605,-0.0011212350922724492,0.9612010837018777,1.4469009110635398,2.3090121249700513,2.2983484327015065
12.39,2.3484488300189548,2.3354433724389843,-0.0013443225192250321,0.9668689497936079,1.4465985221184814,2.308817778357879,2.297971659922388
12.46,2.3491391077822072,2.3359764439766075,-0.0015690497462442369,0.9725368158853382,1.4462961331734228,2.308623431745706,2.2975948871432696
12.53,2.3498293855454597,2.336509515514231,-0.0017954064315687168,0.9782046819770686,1.4459937442283644,2.3084290851335334,2.297218114364151
12.6,2.350519663308712,2.337042587051854,-0.0020233822334371704,0.9838725480687988,1.445691355283306,2.308234738521361,2.296841341585033
12.67,2.3512099410719647,2.3375756585894774,-0.00225296681008826,0.9895404141605291,1.4453889663382475,2.3080403919091883,2.2964645688059147
12.74,2.351900218835217,2.3381087301271006,-0.002484149819760656,0.9952082802522593,1.4450865773931891,2.3078460452970155,2.296087796026796
12.81,2.352590496598469,2.338641801664724,-0.0027169209206930403,1.0008761463439897,1.4447841884481305,2.307651698684843,2.295711023247678
12.88,2.353280774361722,2.339174873202347,-0.002951269771124086,1.00654401243572,1.444481799503072,2.3074573520726704,2.295334250468559
12.95,2.353971052124974,2.3397079447399705,-0.003187186029292459,1.0122118785274499,1.4441794105580135,2.3072630054604977,2.294957477689441
13.02,2.354661329888226,2.3402410162775933,-0.0034246593534368467,1.01787974461918,1.443877021612955,2.307068658848325,2.2945807049103224
13.09,2.355351607651479,2.340774087815217,-0.003663679401795919,1.0235476107109105,1.4435746326678967,2.306874312236152,2.294203932131204
13.16,2.356041885414731,2.3413071593528403,-0.0039042358326083467,1.0292154768026407,1.4432722437228382,2.30667996562398,2.2938271593520856
13.23,2.3567321631779836,2.341840230890463,-0.004146318304112807,1.034883342894371,1.4429698547777798,2.3064856190118075,2.2934503865729674
13.3,2.357422440941236,2.3423733024280864,-0.004389916474547978,1.0405512089861013,1.4426674658327212,2.3062912723996347,2.293073613793849
13.37,2.358112718704488,2.3429063739657097,-0.004635020002152515,1.0462190750778313,1.442365076887663,2.306096925787462,2.2926968410147306
13.44,2.3588029964677406,2.343439445503333,-0.0048816185451651195,1.0518869411695617,1.4420626879426046,2.305902579175289,2.2923200682356124
13.51,2.359493274230993,2.343972517040956,-0.005129701761824454,1.0575548072612921,1.441760298997546,2.3057082325631164,2.291943295456494
13.58,2.360183551994245,2.3445055885785795,-0.005379259310369191,1.0632226733530223,1.4414579100524876,2.305513885950944,2.2915665226773756
13.65,2.360873829757498,2.3450386601162028,-0.005630280849038011,1.0688905394447525,1.441155521107429,2.3053195393387713,2.2911897498982574
13.72,2.36156410752075,2.345571731653826,-0.005882756036069577,1.074558405536483,1.4408531321623705,2.3051251927265985,2.290812977119139
13.79,2.362254385284003,2.3461048031914498,-0.006136674529702573,1.0802262716282132,1.4405507432173121,2.3049308461144262,2.29043620434002
13.86,2.3629446630472555,2.3466378747290726,-0.006392025988175668,1.0858941377199434,1.4402483542722535,2.3047364995022535,2.290059431560902
13.93,2.363634940810508,2.3471709462666963,-0.006648800069727548,1.0915620038116736,1.439945965327195,2.3045421528900807,2.289682658781784
14.0,2.36432521857376,2.347704017804319,-0.006906986432596873,1.097229869903404,1.4396435763821367,2.3043478062779084,2.2893058860026656
14.07,2.3650154963370125,2.348237089341943,-0.007166574735022328,1.1028977359951342,1.4393411874370783,2.304153459665735,2.288929113223547
14.14,2.365705774100265,2.3487701608795657,-0.00742755463524258,1.1085656020868644,1.4390387984920197,2.303959113053563,2.2885523404444283
14.21,2.3663960518635174,2.349303232417189,-0.0076899157914963046,1.1142334681785948,1.4387364095469612,2.3037647664413905,2.28817556766531
14.28,2.36708632962677,2.3498363039548122,-0.007953647862022174,1.1199013342703248,1.4384340206019028,2.3035704198292177,2.287798794886192
14.35,2.367776607390022,2.3503693754924355,-0.008218740505058872,1.125569200362055,1.4381316316568442,2.303376073217045,2.2874220221070733
14.42,2.3684668851532744,2.350902447030059,-0.008485183378845067,1.1312370664537854,1.4378292427117858,2.3031817266048726,2.2870452493279547
14.49,2.369157162916527,2.351435518567682,-0.00875296614161943,1.1369049325455156,1.4375268537667274,2.3029873799926994,2.2866684765488365
14.56,2.3698474406797794,2.3519685901053053,-0.009022078451620646,1.1425727986372458,1.4372244648216688,2.302793033380527,2.2862917037697184
14.63,2.370537718443032,2.3525016616429286,-0.009292509967087382,1.1482406647289762,1.4369220758766104,2.3025986867683548,2.2859149309905997
14.7,2.371227996206284,2.353034733180552,-0.009564250346258305,1.1539085308207062,1.436619686931552,2.302404340156182,2.2855381582114815
